anio;mes;pais;tipo;energia_MWh
2013;1/1/2013;Brasil;Exportación;4.5
2013;1/1/2013;Chile;Exportación;0.0
2013;1/1/2013;Paraguay;Exportación;0.0
2013;1/1/2013;Uruguay;Exportación;0.0
2013;1/1/2013;Brasil;Importación;0.0
2013;1/1/2013;Chile;Importación;0.0
2013;1/1/2013;Paraguay;Importación;12,476.1
2013;1/1/2013;Uruguay;Importación;1,008.0
2013;2/1/2013;Brasil;Exportación;136.2
2013;2/1/2013;Chile;Exportación;0.0
2013;2/1/2013;Paraguay;Exportación;0.0
2013;2/1/2013;Uruguay;Exportación;0.0
2013;2/1/2013;Brasil;Importación;406.9
2013;2/1/2013;Chile;Importación;0.0
2013;2/1/2013;Paraguay;Importación;11,184.8
2013;2/1/2013;Uruguay;Importación;360.5
2013;3/1/2013;Brasil;Exportación;4.2
2013;3/1/2013;Chile;Exportación;0.0
2013;3/1/2013;Paraguay;Exportación;0.0
2013;3/1/2013;Uruguay;Exportación;0.0
2013;3/1/2013;Brasil;Importación;3.5
2013;3/1/2013;Chile;Importación;0.0
2013;3/1/2013;Paraguay;Importación;11,572.6
2013;3/1/2013;Uruguay;Importación;935.0
2013;4/1/2013;Brasil;Exportación;13.9
2013;4/1/2013;Chile;Exportación;0.0
2013;4/1/2013;Paraguay;Exportación;0.0
2013;4/1/2013;Uruguay;Exportación;0.0
2013;4/1/2013;Brasil;Importación;14.4
2013;4/1/2013;Chile;Importación;0.0
2013;4/1/2013;Paraguay;Importación;8,604.9
2013;4/1/2013;Uruguay;Importación;1,952.0
2013;5/1/2013;Brasil;Exportación;53.0
2013;5/1/2013;Chile;Exportación;0.0
2013;5/1/2013;Paraguay;Exportación;0.0
2013;5/1/2013;Uruguay;Exportación;0.0
2013;5/1/2013;Brasil;Importación;68.9
2013;5/1/2013;Chile;Importación;0.0
2013;5/1/2013;Paraguay;Importación;12,211.9
2013;5/1/2013;Uruguay;Importación;0.0
2013;6/1/2013;Brasil;Exportación;3.2
2013;6/1/2013;Chile;Exportación;0.0
2013;6/1/2013;Paraguay;Exportación;0.0
2013;6/1/2013;Uruguay;Exportación;0.0
2013;6/1/2013;Brasil;Importación;2.8
2013;6/1/2013;Chile;Importación;0.0
2013;6/1/2013;Paraguay;Importación;10,565.3
2013;6/1/2013;Uruguay;Importación;0.0
2013;7/1/2013;Brasil;Exportación;0.0
2013;7/1/2013;Chile;Exportación;0.0
2013;7/1/2013;Paraguay;Exportación;0.0
2013;7/1/2013;Uruguay;Exportación;0.0
2013;7/1/2013;Brasil;Importación;0.0
2013;7/1/2013;Chile;Importación;0.0
2013;7/1/2013;Paraguay;Importación;7,200.6
2013;7/1/2013;Uruguay;Importación;5,414.3
2013;8/1/2013;Brasil;Exportación;210.0
2013;8/1/2013;Chile;Exportación;0.0
2013;8/1/2013;Paraguay;Exportación;0.0
2013;8/1/2013;Uruguay;Exportación;0.0
2013;8/1/2013;Brasil;Importación;188.5
2013;8/1/2013;Chile;Importación;0.0
2013;8/1/2013;Paraguay;Importación;11,956.0
2013;8/1/2013;Uruguay;Importación;0.0
2013;9/1/2013;Brasil;Exportación;4.1
2013;9/1/2013;Chile;Exportación;0.0
2013;9/1/2013;Paraguay;Exportación;0.0
2013;9/1/2013;Uruguay;Exportación;0.0
2013;9/1/2013;Brasil;Importación;2.6
2013;9/1/2013;Chile;Importación;0.0
2013;9/1/2013;Paraguay;Importación;10,319.6
2013;9/1/2013;Uruguay;Importación;884.0
2013;10/1/2013;Brasil;Exportación;0.0
2013;10/1/2013;Chile;Exportación;0.0
2013;10/1/2013;Paraguay;Exportación;0.0
2013;10/1/2013;Uruguay;Exportación;0.0
2013;10/1/2013;Brasil;Importación;0.0
2013;10/1/2013;Chile;Importación;0.0
2013;10/1/2013;Paraguay;Importación;12,137.4
2013;10/1/2013;Uruguay;Importación;0.0
2013;11/1/2013;Brasil;Exportación;0.0
2013;11/1/2013;Chile;Exportación;0.0
2013;11/1/2013;Paraguay;Exportación;0.0
2013;11/1/2013;Uruguay;Exportación;0.0
2013;11/1/2013;Brasil;Importación;0.0
2013;11/1/2013;Chile;Importación;0.0
2013;11/1/2013;Paraguay;Importación;12,582.3
2013;11/1/2013;Uruguay;Importación;148,650.0
2013;12/1/2013;Brasil;Exportación;9.4
2013;12/1/2013;Chile;Exportación;0.0
2013;12/1/2013;Paraguay;Exportación;0.0
2013;12/1/2013;Uruguay;Exportación;0.0
2013;12/1/2013;Brasil;Importación;8.4
2013;12/1/2013;Chile;Importación;0.0
2013;12/1/2013;Paraguay;Importación;14,392.8
2013;12/1/2013;Uruguay;Importación;47,204.8
2014;1/1/2014;Brasil;Exportación;8.4
2014;1/1/2014;Chile;Exportación;0.0
2014;1/1/2014;Paraguay;Exportación;0.0
2014;1/1/2014;Uruguay;Exportación;0.0
2014;1/1/2014;Brasil;Importación;2,321.0
2014;1/1/2014;Chile;Importación;0.0
2014;1/1/2014;Paraguay;Importación;14,100.9
2014;1/1/2014;Uruguay;Importación;86,021.6
2014;2/1/2014;Brasil;Exportación;0.0
2014;2/1/2014;Chile;Exportación;0.0
2014;2/1/2014;Paraguay;Exportación;0.0
2014;2/1/2014;Uruguay;Exportación;0.0
2014;2/1/2014;Brasil;Importación;0.0
2014;2/1/2014;Chile;Importación;0.0
2014;2/1/2014;Paraguay;Importación;13,207.4
2014;2/1/2014;Uruguay;Importación;4,329.9
2014;3/1/2014;Brasil;Exportación;0.0
2014;3/1/2014;Chile;Exportación;0.0
2014;3/1/2014;Paraguay;Exportación;0.0
2014;3/1/2014;Uruguay;Exportación;0.0
2014;3/1/2014;Brasil;Importación;0.0
2014;3/1/2014;Chile;Importación;0.0
2014;3/1/2014;Paraguay;Importación;12,485.5
2014;3/1/2014;Uruguay;Importación;0.0
2014;4/1/2014;Brasil;Exportación;132.6
2014;4/1/2014;Chile;Exportación;0.0
2014;4/1/2014;Paraguay;Exportación;0.0
2014;4/1/2014;Uruguay;Exportación;0.0
2014;4/1/2014;Brasil;Importación;121.4
2014;4/1/2014;Chile;Importación;0.0
2014;4/1/2014;Paraguay;Importación;11,506.5
2014;4/1/2014;Uruguay;Importación;78,142.0
2014;5/1/2014;Brasil;Exportación;28.6
2014;5/1/2014;Chile;Exportación;0.0
2014;5/1/2014;Paraguay;Exportación;0.0
2014;5/1/2014;Uruguay;Exportación;0.0
2014;5/1/2014;Brasil;Importación;21.5
2014;5/1/2014;Chile;Importación;0.0
2014;5/1/2014;Paraguay;Importación;12,619.9
2014;5/1/2014;Uruguay;Importación;47,790.0
2014;6/1/2014;Brasil;Exportación;0.0
2014;6/1/2014;Chile;Exportación;0.0
2014;6/1/2014;Paraguay;Exportación;0.0
2014;6/1/2014;Uruguay;Exportación;0.0
2014;6/1/2014;Brasil;Importación;0.0
2014;6/1/2014;Chile;Importación;0.0
2014;6/1/2014;Paraguay;Importación;4,903.2
2014;6/1/2014;Uruguay;Importación;11,581.0
2014;7/1/2014;Brasil;Exportación;22.7
2014;7/1/2014;Chile;Exportación;4,502.8
2014;7/1/2014;Paraguay;Exportación;0.0
2014;7/1/2014;Uruguay;Exportación;0.0
2014;7/1/2014;Brasil;Importación;21.2
2014;7/1/2014;Chile;Importación;985.9
2014;7/1/2014;Paraguay;Importación;89.3
2014;7/1/2014;Uruguay;Importación;151,742.0
2014;8/1/2014;Brasil;Exportación;222.1
2014;8/1/2014;Chile;Exportación;0.0
2014;8/1/2014;Paraguay;Exportación;0.0
2014;8/1/2014;Uruguay;Exportación;0.0
2014;8/1/2014;Brasil;Importación;253.9
2014;8/1/2014;Chile;Importación;0.0
2014;8/1/2014;Paraguay;Importación;311.3
2014;8/1/2014;Uruguay;Importación;71,961.0
2014;9/1/2014;Brasil;Exportación;196.5
2014;9/1/2014;Chile;Exportación;0.0
2014;9/1/2014;Paraguay;Exportación;0.0
2014;9/1/2014;Uruguay;Exportación;0.0
2014;9/1/2014;Brasil;Importación;203.4
2014;9/1/2014;Chile;Importación;0.0
2014;9/1/2014;Paraguay;Importación;11,594.4
2014;9/1/2014;Uruguay;Importación;207,054.0
2014;10/1/2014;Brasil;Exportación;37.0
2014;10/1/2014;Chile;Exportación;0.0
2014;10/1/2014;Paraguay;Exportación;0.0
2014;10/1/2014;Uruguay;Exportación;0.0
2014;10/1/2014;Brasil;Importación;31.2
2014;10/1/2014;Chile;Importación;0.0
2014;10/1/2014;Paraguay;Importación;9,660.5
2014;10/1/2014;Uruguay;Importación;303,964.0
2014;11/1/2014;Brasil;Exportación;0.0
2014;11/1/2014;Chile;Exportación;535.1
2014;11/1/2014;Paraguay;Exportación;0.0
2014;11/1/2014;Uruguay;Exportación;0.0
2014;11/1/2014;Brasil;Importación;0.0
2014;11/1/2014;Chile;Importación;2,902.2
2014;11/1/2014;Paraguay;Importación;13,253.1
2014;11/1/2014;Uruguay;Importación;214,524.0
2014;12/1/2014;Brasil;Exportación;0.0
2014;12/1/2014;Chile;Exportación;0.0
2014;12/1/2014;Paraguay;Exportación;0.0
2014;12/1/2014;Uruguay;Exportación;0.0
2014;12/1/2014;Brasil;Importación;0.0
2014;12/1/2014;Chile;Importación;0.0
2014;12/1/2014;Paraguay;Importación;12,205.3
2014;12/1/2014;Uruguay;Importación;89,737.3
2015;1/1/2015;Brasil;Exportación;6,370.5
2015;1/1/2015;Chile;Exportación;0.0
2015;1/1/2015;Paraguay;Exportación;0.0
2015;1/1/2015;Uruguay;Exportación;0.0
2015;1/1/2015;Brasil;Importación;750.4
2015;1/1/2015;Chile;Importación;0.0
2015;1/1/2015;Paraguay;Importación;11,842.6
2015;1/1/2015;Uruguay;Importación;151,331.7
2015;2/1/2015;Brasil;Exportación;9.2
2015;2/1/2015;Chile;Exportación;0.0
2015;2/1/2015;Paraguay;Exportación;0.0
2015;2/1/2015;Uruguay;Exportación;0.0
2015;2/1/2015;Brasil;Importación;1,616.3
2015;2/1/2015;Chile;Importación;0.0
2015;2/1/2015;Paraguay;Importación;11,161.1
2015;2/1/2015;Uruguay;Importación;2,840.0
2015;3/1/2015;Brasil;Exportación;148.1
2015;3/1/2015;Chile;Exportación;0.0
2015;3/1/2015;Paraguay;Exportación;0.0
2015;3/1/2015;Uruguay;Exportación;0.0
2015;3/1/2015;Brasil;Importación;2,883.7
2015;3/1/2015;Chile;Importación;0.0
2015;3/1/2015;Paraguay;Importación;12,936.8
2015;3/1/2015;Uruguay;Importación;0.0
2015;4/1/2015;Brasil;Exportación;0.0
2015;4/1/2015;Chile;Exportación;0.0
2015;4/1/2015;Paraguay;Exportación;0.0
2015;4/1/2015;Uruguay;Exportación;0.0
2015;4/1/2015;Brasil;Importación;0.0
2015;4/1/2015;Chile;Importación;0.0
2015;4/1/2015;Paraguay;Importación;12,370.6
2015;4/1/2015;Uruguay;Importación;0.0
2015;5/1/2015;Brasil;Exportación;24.7
2015;5/1/2015;Chile;Exportación;0.0
2015;5/1/2015;Paraguay;Exportación;0.0
2015;5/1/2015;Uruguay;Exportación;0.0
2015;5/1/2015;Brasil;Importación;20.6
2015;5/1/2015;Chile;Importación;0.0
2015;5/1/2015;Paraguay;Importación;12,858.6
2015;5/1/2015;Uruguay;Importación;0.0
2015;6/1/2015;Brasil;Exportación;0.0
2015;6/1/2015;Chile;Exportación;0.0
2015;6/1/2015;Paraguay;Exportación;0.0
2015;6/1/2015;Uruguay;Exportación;0.0
2015;6/1/2015;Brasil;Importación;294.1
2015;6/1/2015;Chile;Importación;0.0
2015;6/1/2015;Paraguay;Importación;12,661.6
2015;6/1/2015;Uruguay;Importación;0.0
2015;7/1/2015;Brasil;Exportación;41.6
2015;7/1/2015;Chile;Exportación;0.0
2015;7/1/2015;Paraguay;Exportación;0.0
2015;7/1/2015;Uruguay;Exportación;0.0
2015;7/1/2015;Brasil;Importación;138,922.7
2015;7/1/2015;Chile;Importación;0.0
2015;7/1/2015;Paraguay;Importación;5,888.8
2015;7/1/2015;Uruguay;Importación;26,751.0
2015;8/1/2015;Brasil;Exportación;0.0
2015;8/1/2015;Chile;Exportación;0.0
2015;8/1/2015;Paraguay;Exportación;0.0
2015;8/1/2015;Uruguay;Exportación;0.0
2015;8/1/2015;Brasil;Importación;0.0
2015;8/1/2015;Chile;Importación;0.0
2015;8/1/2015;Paraguay;Importación;949.8
2015;8/1/2015;Uruguay;Importación;123,352.0
2015;9/1/2015;Brasil;Exportación;40,730.4
2015;9/1/2015;Chile;Exportación;4.7
2015;9/1/2015;Paraguay;Exportación;0.0
2015;9/1/2015;Uruguay;Exportación;0.0
2015;9/1/2015;Brasil;Importación;0.0
2015;9/1/2015;Chile;Importación;5.7
2015;9/1/2015;Paraguay;Importación;5,274.7
2015;9/1/2015;Uruguay;Importación;47,945.0
2015;10/1/2015;Brasil;Exportación;0.0
2015;10/1/2015;Chile;Exportación;0.0
2015;10/1/2015;Paraguay;Exportación;0.0
2015;10/1/2015;Uruguay;Exportación;0.0
2015;10/1/2015;Brasil;Importación;18,391.1
2015;10/1/2015;Chile;Importación;0.0
2015;10/1/2015;Paraguay;Importación;11,644.8
2015;10/1/2015;Uruguay;Importación;421,753.0
2015;11/1/2015;Brasil;Exportación;8,091.4
2015;11/1/2015;Chile;Exportación;0.0
2015;11/1/2015;Paraguay;Exportación;0.0
2015;11/1/2015;Uruguay;Exportación;0.0
2015;11/1/2015;Brasil;Importación;64,601.1
2015;11/1/2015;Chile;Importación;0.0
2015;11/1/2015;Paraguay;Importación;11,823.5
2015;11/1/2015;Uruguay;Importación;417,248.0
2015;12/1/2015;Brasil;Exportación;0.0
2015;12/1/2015;Chile;Exportación;0.0
2015;12/1/2015;Paraguay;Exportación;0.0
2015;12/1/2015;Uruguay;Exportación;0.0
2015;12/1/2015;Brasil;Importación;1,041.4
2015;12/1/2015;Chile;Importación;0.0
2015;12/1/2015;Paraguay;Importación;3,750.3
2015;12/1/2015;Uruguay;Importación;121,726.0
2016;1/1/2016;Brasil;Exportación;0.0
2016;1/1/2016;Chile;Exportación;0.0
2016;1/1/2016;Paraguay;Exportación;0.0
2016;1/1/2016;Uruguay;Exportación;0.0
2016;1/1/2016;Brasil;Importación;15749.1
2016;1/1/2016;Chile;Importación;0.0
2016;1/1/2016;Paraguay;Importación;3515.0
2016;1/1/2016;Uruguay;Importación;151529.6
2016;2/1/2016;Brasil;Exportación;0.0
2016;2/1/2016;Chile;Exportación;57.7
2016;2/1/2016;Paraguay;Exportación;1.2
